Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1400 9.46 - 29.54 41.97 55.08 12.28 44.86 35.84 1:15.42 2:47.49
1399 - 18.90 29.55 41.98 55.09 - 44.88 35.85 1:15.44 2:47.55
1398 - 18.91 29.56 41.99 55.11 12.29 44.89 35.86 1:15.46 2:47.61
1397 - - 29.57 42.00 55.13 - 44.91 35.88 1:15.49 2:47.67
1396 9.47 18.92 29.58 42.02 55.14 12.30 44.93 35.89 1:15.51 2:47.73
1395 - - 29.59 42.03 55.16 - 44.95 35.90 1:15.54 2:47.79
1394 - 18.93 29.60 42.04 55.18 - 44.97 35.91 1:15.56 2:47.85
1393 - 18.94 29.61 42.06 55.20 12.31 44.98 35.92 1:15.59 2:47.91
1392 9.48 - 29.62 42.07 55.22 - 45.00 35.94 1:15.61 2:47.97
1391 - 18.95 - 42.08 55.23 12.32 45.02 35.95 1:15.64 2:48.03
1390 - - 29.63 42.10 55.25 - 45.04 35.96 1:15.66 2:48.09
1389 9.49 18.96 29.64 42.11 55.27 12.33 45.06 35.97 1:15.69 2:48.15
1388 - 18.97 29.65 42.12 55.29 - 45.08 35.98 1:15.71 2:48.21
1387 - - 29.66 42.14 55.30 12.34 45.09 36.00 1:15.73 2:48.27
1386 - 18.98 29.67 42.15 55.32 - 45.11 36.01 1:15.76 2:48.33
1385 9.50 - 29.68 42.16 55.34 12.35 45.13 36.02 1:15.78 2:48.39
1384 - 18.99 29.69 42.18 55.36 - 45.15 36.03 1:15.81 2:48.45
1383 - 19.00 29.70 42.19 55.37 12.36 45.17 36.04 1:15.83 2:48.51
1382 - - 29.71 42.20 55.39 - 45.18 36.06 1:15.86 2:48.57
1381 9.51 19.01 29.72 42.22 55.41 12.37 45.20 36.07 1:15.88 2:48.63
1380 - - 29.73 42.23 55.43 - 45.22 36.08 1:15.91 2:48.69
1379 - 19.02 29.74 42.24 55.44 12.38 45.24 36.09 1:15.93 2:48.75
1378 9.52 19.03 29.75 42.26 55.46 - 45.26 36.11 1:15.96 2:48.81
1377 - - 29.76 42.27 55.48 12.39 45.28 36.12 1:15.98 2:48.87
1376 - 19.04 29.77 42.28 55.50 - 45.29 36.13 1:16.01 2:48.93
1375 - - 29.78 42.30 55.51 12.40 45.31 36.14 1:16.03 2:48.99
1374 9.53 19.05 29.79 42.31 55.53 - 45.33 36.15 1:16.05 2:49.05
